result #,search engine,query,discourse,language,domain,Manual actor name,article title,article url,article description,total nr of results (best guess),"Type (Kommunal, virksomhed, statslig)",Kommentarer / Er det en relevant kvalitativ case? Hvorfor?
312.0,bing,"(“Bæredygtighed” OR “bæredygtig*” OR “grøn*”) AND (""forretning"" OR ""vækst"" OR ""innovation"" OR ""produktion"" OR ""potentiel"" OR ""optimering"" OR ""effektivitet"" OR ""muligheder"" OR ""økonomi"")",,Danish,celsa-steelservice,,Bæredygtig produktion - klimavenlig armering - Celsa ...,https://celsa-steelservice.dk/kvalitet-og-miljo/baeredygtig-produktion/,"Vores produktion af armering er en bæredygtig produktion. Andres affald er vores ressource, og vi mener, at stål kan genbruges 100%.",1100000.0,,
313.0,bing,"(“Bæredygtighed” OR “bæredygtig*” OR “grøn*”) AND (""forretning"" OR ""vækst"" OR ""innovation"" OR ""produktion"" OR ""potentiel"" OR ""optimering"" OR ""effektivitet"" OR ""muligheder"" OR ""økonomi"")",,Danish,au,,Vanskelige verdensmål? Bæredygtig forretning,https://bss.au.dk/insights/business-1/2019/vanskelige-verdensmaal-baeredygtig-forretning/,"Vanskelige verdensmål - Bæredygtig forretning For en ejerleder, som er fanget i driften og ofte også er presset på forretningsmodel og ressourcer, kan det i bedste fald virke temmelig besværligt og i værste fald som en uoverstigelig opgave at gå i gang med at arbejde med FN’s verdensmål.",1100000.0,,
314.0,bing,"(“Bæredygtighed” OR “bæredygtig*” OR “grøn*”) AND (""forretning"" OR ""vækst"" OR ""innovation"" OR ""produktion"" OR ""potentiel"" OR ""optimering"" OR ""effektivitet"" OR ""muligheder"" OR ""økonomi"")",,Danish,danskindustri,,Virksomheder satser på bæredygtig forretning - DI,https://www.danskindustri.dk/di-business/arkiv/nyheder/2019/2/virksomheder-satser-pa-baredygtig-forretning/,"Virksomheder satser på bæredygtig forretning Afspil video #Danske virksomheder tager verdensmålene til sig. Det kan jeg godt forstå, for de giver en rigtig god platform til at sætte nyt strategisk fokus på bæredygtig udvikling af forretningen, siger …",1100000.0,,
315.0,bing,"(“Bæredygtighed” OR “bæredygtig*” OR “grøn*”) AND (""forretning"" OR ""vækst"" OR ""innovation"" OR ""produktion"" OR ""potentiel"" OR ""optimering"" OR ""effektivitet"" OR ""muligheder"" OR ""økonomi"")",,Danish,mannaz,,Bæredygtighed = god forretning | Mannaz kurser og uddannelser,https://www.mannaz.com/da/artikler/ledelse/baeredygtighed-god-forretning/,"Det er ærgerligt, for der kan være god forretning i bæredygtighed. ”Jeg tror, det eneste, der i fremtiden bliver god forretning, er bæredygtige forretninger. Der er vi ikke helt endnu, men man kan se, at startup-virksomheder slet ikke tænker over, om de skal være bæredygtige eller ej – det er de bare helt naturligt, fordi andet ikke giver mening,” siger hun.",1100000.0,,
316.0,bing,"(“Bæredygtighed” OR “bæredygtig*” OR “grøn*”) AND (""forretning"" OR ""vækst"" OR ""innovation"" OR ""produktion"" OR ""potentiel"" OR ""optimering"" OR ""effektivitet"" OR ""muligheder"" OR ""økonomi"")",,Danish,ikea,,Bæredygtighed i vores forretning | Årsberetning 2020 - IKEA,https://www.ikea.com/dk/da/this-is-ikea/newsroom/baeredygtighedivoresforretning2020-pub258a0fe9,"I året der gik, stillede vi endnu skarpere på bæredygtighed i IKEA. Vi trådte ind i det årti, hvor vi skal nå vores globale mål om at blive en klimapositiv, cirkulær forretning i 2030. Det er en ambitiøs målsætning, der kræver ændringer i måden, vi driver vores virksomhed på.",1100000.0,,
317.0,bing,"(“Bæredygtighed” OR “bæredygtig*” OR “grøn*”) AND (""forretning"" OR ""vækst"" OR ""innovation"" OR ""produktion"" OR ""potentiel"" OR ""optimering"" OR ""effektivitet"" OR ""muligheder"" OR ""økonomi"")",,Danish,promentum,,Bæredygtighed er en GIGA god forretning – Promentum A/S,https://promentum.dk/baeredygtighed-er-en-giga-god-forretning/,"Bæredygtighed er fremtidens normal. Og fremtidens mest succesfulde virksomheder, bliver dem, der er hurtigst til at gentænke deres forretningsmodel og skabe en bæredygtig forretning. Virksomhederne skal lære at drive Sustainable hardcore business, og forventningerne til udbyttet er allerede tårnhøjt (se faktabokse nederst i indlægget).",1100000.0,,
318.0,bing,"(“Bæredygtighed” OR “bæredygtig*” OR “grøn*”) AND (""forretning"" OR ""vækst"" OR ""innovation"" OR ""produktion"" OR ""potentiel"" OR ""optimering"" OR ""effektivitet"" OR ""muligheder"" OR ""økonomi"")",,Danish,ucl,,Blogindlæg - Bæredygtighed: Kunsten at omsætte luftige ...,https://www.ucl.dk/blog/Ledelse-og-organisation/baeredygtighed-kunsten-at-omsaette-luftige-begreber-til-virkelighedens-forretning,"Bæredygtighed: Kunsten at omsætte luftige begreber til virkelighedens forretning Deltag i webinar om hvordan pokker al den snak om bæredygtighed og FN’s Verdensmål bliver en del af din dagligdag som leder, af bundlinjen og af din virksomheds strategi.",1100000.0,,
319.0,bing,"(“Bæredygtighed” OR “bæredygtig*” OR “grøn*”) AND (""forretning"" OR ""vækst"" OR ""innovation"" OR ""produktion"" OR ""potentiel"" OR ""optimering"" OR ""effektivitet"" OR ""muligheder"" OR ""økonomi"")",,Danish,gyldendal,,Produktion med bæredygtig udnyttelse af naturgrundlaget ...,https://naturfagsproeven.gyldendal.dk/forloeb/3-produktion-med-baeredygtig-udnyttelse-af-naturgrundlaget,Produktion med bæredygtig udnyttelse af naturgrundlaget ...,1100000.0,,
320.0,bing,"(“Bæredygtighed” OR “bæredygtig*” OR “grøn*”) AND (""forretning"" OR ""vækst"" OR ""innovation"" OR ""produktion"" OR ""potentiel"" OR ""optimering"" OR ""effektivitet"" OR ""muligheder"" OR ""økonomi"")",,Danish,wikipedia,,"Bæredygtighed - Wikipedia, den frie encyklopædi",https://da.wikipedia.org/wiki/B%C3%A6redygtighed,"Bæredygtighed er et udtryk for en teknologis eller en kulturs slid på naturgrundlaget. I princippet kan man forestille sig, at jæger- og samlerkulturer kan udnytte naturen med 100% bæredygtighed. I den modsatte ende af skalaen findes teknologier og kulturer, som nedslider naturen i en grad, så de hele tiden må flytte for at finde nye ressourcer.",1100000.0,,
321.0,bing,"(“Bæredygtighed” OR “bæredygtig*” OR “grøn*”) AND (""forretning"" OR ""vækst"" OR ""innovation"" OR ""produktion"" OR ""potentiel"" OR ""optimering"" OR ""effektivitet"" OR ""muligheder"" OR ""økonomi"")",,Danish,dn,,Bæredygtighed - Danmarks Naturfredningsforening,https://www.dn.dk/vi-arbejder-for/baeredygtighed/,"Bæredygtighed Produktion og forbrug skal ikke belaste klimaet og forurene vores natur og miljø. Et bæredygtigt samfund er et samfund uden affald: En cirkulær økonomi, hvor vi genbruger og genanvender materialer.",1100000.0,,
322.0,bing,"(“Bæredygtighed” OR “bæredygtig*” OR “grøn*”) AND (""forretning"" OR ""vækst"" OR ""innovation"" OR ""produktion"" OR ""potentiel"" OR ""optimering"" OR ""effektivitet"" OR ""muligheder"" OR ""økonomi"")",,Danish,computerworldevents,,Sådan gør IT bæredygtighed til en god forretning,https://computerworldevents.dk/1126/saadan-goer-it-baeredygtighed-til-en-god-forretning?ref=cw-eventbox,"08.04.2021 · Sådan gør IT bæredygtighed til en god forretning Digitalt event. Dato: 20/4 2021. Sted: Online. Pris: Gratis deltagelse. Kunder, investorer og samfund holder i stigende grad virksomheder ansvarlige for deres klimabelastning, og de fleste forventer, at der indenfor overskuelig fremtid indføres egentlige skatter på CO 2-udledning.",1100000.0,,
323.0,bing,"(“Bæredygtighed” OR “bæredygtig*” OR “grøn*”) AND (""forretning"" OR ""vækst"" OR ""innovation"" OR ""produktion"" OR ""potentiel"" OR ""optimering"" OR ""effektivitet"" OR ""muligheder"" OR ""økonomi"")",,Danish,nordea,,Bæredygtig forretning | Nordea,https://www.nordea.com/da/baeredygtighed/baeredygtig-forretning/,provide a proper introduction in this input field. this field should not exceed more than 150 characters (with spaces) and should contain keywords related to this content page.,1100000.0,,
325.0,bing,"(“Bæredygtighed” OR “bæredygtig*” OR “grøn*”) AND (""forretning"" OR ""vækst"" OR ""innovation"" OR ""produktion"" OR ""potentiel"" OR ""optimering"" OR ""effektivitet"" OR ""muligheder"" OR ""økonomi"")",,Danish,combine,,Bæredygtighed er god forretning - Combine,https://combine.dk/indsigter/baeredygtighed-er-god-forretning/,"Bæredygtighed er god forretning Som digital virksomhed ved vi, hvor stort potentiale t er for at skabe en positiv forandring ved hjælp af digitalisering. V ores løsninger er aktivt med til at omstille virksomheder og forbedre dagligdagen for mange tusinde mennesker.",1100000.0,,
327.0,bing,"(“Bæredygtighed” OR “bæredygtig*” OR “grøn*”) AND (""forretning"" OR ""vækst"" OR ""innovation"" OR ""produktion"" OR ""potentiel"" OR ""optimering"" OR ""effektivitet"" OR ""muligheder"" OR ""økonomi"")",,Danish,geus,,"Mineralske råstoffer, bæredygtighed og innovation",https://www.geus.dk/produkter-ydelser-og-faciliteter/publikationer/populaervidenskab/boeger/mineralske-raastoffer-baeredygtighed-og-innovation/,"Under hovedoverskrifterne mineralske råstoffer, bæredygtighed og innovation præsenteres i 28 kapitler de mineralske råstoffers samfundsmæssige betydning, deres lange og dynamiske forsyningskæder fra mineralefterforskning til minedrift og forarbejdningstrinene videre til de når forbrugerne – og efterfølgende, de nye værdikæder som opstår, når varen er kasseret og …",1100000.0,,
328.0,bing,"(“Bæredygtighed” OR “bæredygtig*” OR “grøn*”) AND (""forretning"" OR ""vækst"" OR ""innovation"" OR ""produktion"" OR ""potentiel"" OR ""optimering"" OR ""effektivitet"" OR ""muligheder"" OR ""økonomi"")",,Danish,groenvaekst,,Grøn Vækst A/S - Grøn Vækst A/S,https://groenvaekst.dk/,"Grøn Vækst passer de grønne områder på Havneholmen i København. Vi sætter stor pris på vores solide samarbejder med nogle af Danmarks mest krævende kunder. Vores kernekompetence er grøn pleje, men vi tilbyder også andre ydelser, som f.eks. træpleje, kyst- og skræntsikring, naturpleje eller faclity management.",1100000.0,,
329.0,bing,"(“Bæredygtighed” OR “bæredygtig*” OR “grøn*”) AND (""forretning"" OR ""vækst"" OR ""innovation"" OR ""produktion"" OR ""potentiel"" OR ""optimering"" OR ""effektivitet"" OR ""muligheder"" OR ""økonomi"")",,Danish,ecoinnovation,,Grøn innovation,https://ecoinnovation.dk/groen-innovation/,Grøn innovation Her på siderne kan du læse mere om udviklingen inden for grøn innovation og miljøteknologi. Miljøtemaer: Udfordringer og teknologiske muligheder. En tematisk indgang til arbejdet med forskellige miljøudfordringer og de tilgængelige miljøteknologiske muligheder.,1100000.0,,
330.0,bing,"(“Bæredygtighed” OR “bæredygtig*” OR “grøn*”) AND (""forretning"" OR ""vækst"" OR ""innovation"" OR ""produktion"" OR ""potentiel"" OR ""optimering"" OR ""effektivitet"" OR ""muligheder"" OR ""økonomi"")",,Danish,kruger,,En bæredygtig forretning | Krüger A/S,https://www.kruger.dk/om-os/en-baeredygtig-forretning,En bæredygtig forretning. Hjem Om os Brancher Teknologier og service Infocenter Aktuelt Kontakt os Vores forretning At arbejde hos Krüger Veolia Water …,1100000.0,,
331.0,bing,"(“Bæredygtighed” OR “bæredygtig*” OR “grøn*”) AND (""forretning"" OR ""vækst"" OR ""innovation"" OR ""produktion"" OR ""potentiel"" OR ""optimering"" OR ""effektivitet"" OR ""muligheder"" OR ""økonomi"")",,Danish,industriensfond,,IPUK – med kurs mod bæredygtig forretning | Industriens ...,https://www.industriensfond.dk/IPUK,"IPUK – med kurs mod bæredygtig forretning. LinkedIn Twitter . Projektet skal styrke grønlandske virksomheder i at arbejde strategisk med verdensmålene. Grønland er et af de lande i verden, som påvirkes mest af klimaforandringer.",1100000.0,,
333.0,bing,"(“Bæredygtighed” OR “bæredygtig*” OR “grøn*”) AND (""forretning"" OR ""vækst"" OR ""innovation"" OR ""produktion"" OR ""potentiel"" OR ""optimering"" OR ""effektivitet"" OR ""muligheder"" OR ""økonomi"")",,Danish,undp,,15 danske virksomheder udvikler bæredygtig forretning ...,https://www.dk.undp.org/content/denmark/da_dk/home/presscenter/pressreleases/2018/05/14/15-danske-virksomheder-udvikler-b-redygtig-forretning-sammen-med-fn-eksperter-i-fn-byen.html,Presset på verdens ressourcer vokser. Det kalder på nye bæredygtige og innovative løsninger. I to dage slår 15 danske virksomheder kræfterne sammen med globale FN-eksperter og andre fagfolk i FN Byen i et innovationsevent som et led i det nye projekt SDG Accelerator for at skabe ny forretning med afsæt i FN’s Verdensmål.,1100000.0,,
335.0,bing,"(“Bæredygtighed” OR “bæredygtig*” OR “grøn*”) AND (""forretning"" OR ""vækst"" OR ""innovation"" OR ""produktion"" OR ""potentiel"" OR ""optimering"" OR ""effektivitet"" OR ""muligheder"" OR ""økonomi"")",,Danish,ey,,Vækst og bæredygtighed smelter sammen | EY Danmark,https://www.ey.com/da_dk/news/2021/03/vaekst-og-baeredygtighed-smelter-sammen,"11.03.2021 · Vi tror på, at vækst og bæredygtighed rykker tættere sammen, og vi glæder os til at se mange flere succesfulde danske virksomheder, som gør bæredygtighed til forretning og forretningen mere bæredygtig. Det overordnede formål med EY Entrepreneur Of The Year er at hylde rollemodeller og inspirere til entrepreneurskab, innovation og vækst.",1100000.0,,
336.0,bing,"(“Bæredygtighed” OR “bæredygtig*” OR “grøn*”) AND (""forretning"" OR ""vækst"" OR ""innovation"" OR ""produktion"" OR ""potentiel"" OR ""optimering"" OR ""effektivitet"" OR ""muligheder"" OR ""økonomi"")",,Danish,djoef,,Success med bæredygtighed og forretning | Djøf,https://www.djoef.dk/kurser-og-arrangementer/temp/webcast/success-med-b-ae-redygtighed-og-forretning.aspx,"Success med bæredygtighed og forretning. Vi står overfor et paradigmeskifte, og fremover vil virksomheder ikke kun blive målt på, hvor gode de er til at skabe vækst, men også på, hvordan de kombinerer bæredygtighed, forretning og det klimaaftryk, de sætter på samfundet omkring dem. Så hvordan udvikler man en bæredygtig forretningsstrategi?",1100000.0,,
337.0,bing,"(“Bæredygtighed” OR “bæredygtig*” OR “grøn*”) AND (""forretning"" OR ""vækst"" OR ""innovation"" OR ""produktion"" OR ""potentiel"" OR ""optimering"" OR ""effektivitet"" OR ""muligheder"" OR ""økonomi"")",,Danish,dst,,Grøn økonomi - Danmarks Statistik,https://www.dst.dk/da/Statistik/emner/geografi-miljoe-og-energi/groent-nationalregnskab/groen-oekonomi,"Emnegruppen grøn økonomi inden for det det grønne nationalregnskab dækker opgørelser af den offentlige sektors miljøudgifter og – indtægter, virksomhedernes udgifter til miljøbeskyttelse, virksomhedernes produktion af grønne varer og tjenester samt miljørelaterede skatter (grønne afgifter) og miljømotiverede subsidier mv.",1100000.0,,
338.0,bing,"(“Bæredygtighed” OR “bæredygtig*” OR “grøn*”) AND (""forretning"" OR ""vækst"" OR ""innovation"" OR ""produktion"" OR ""potentiel"" OR ""optimering"" OR ""effektivitet"" OR ""muligheder"" OR ""økonomi"")",,Danish,um,,Bæredygtig vækst - Udenrigsministeriet,https://um.dk/da/danida/danida-business/,"Mennesker født i Bangladesh, Kenya og Mexico skal vokse op med bæredygtig og ansvarlig vækst. De skal have adgang til energi, rent vand og sundhed. De skal opleve vækst med job, der sikrer dem og deres børn en uddannelse, sundhed og et godt miljø til de næste generationer. Danmark kan bidrage med viden og teknologi til at koble bæredygtig vækst med menneskerettigheder og …",1100000.0,,
339.0,bing,"(“Bæredygtighed” OR “bæredygtig*” OR “grøn*”) AND (""forretning"" OR ""vækst"" OR ""innovation"" OR ""produktion"" OR ""potentiel"" OR ""optimering"" OR ""effektivitet"" OR ""muligheder"" OR ""økonomi"")",,Danish,mannaz,,Bæredygtighed i din strategiudvikling | Kursus hos Mannaz,https://www.mannaz.com/da/kurser-og-uddannelser/skab-baeredygtige-resultater-17-verdensmal/,"Det er stadig vigtigt. Men i dag er det også vigtigt at fokusere på bæredygtig innovation af forretningsmodeller og ydelser. Hvis I skal lykkes i fremtiden, er det afgørende, at I tager højde for de ændrede krav, som mange kunder og borgere stiller. Disse krav afspejles i FN´s 17 verdensmål for bæredygtighed.",1100000.0,,
341.0,bing,"(“Bæredygtighed” OR “bæredygtig*” OR “grøn*”) AND (""forretning"" OR ""vækst"" OR ""innovation"" OR ""produktion"" OR ""potentiel"" OR ""optimering"" OR ""effektivitet"" OR ""muligheder"" OR ""økonomi"")",,Danish,mfvm,,"Grøn Vækst - Ministeriet for Fødevarer, Landbrug og Fiskeri",https://mfvm.dk/fileadmin/user_upload/FVM.dk/Dokumenter/Servicemenu/Publikationer/Groen_vaekst.pdf,"Grøn Vækst 1.1. Grøn Vækst 3 1.2. En grøn vækstvision for natur, 5 miljø, klima og landbrug 1.3. Investeringer i Grøn Vækst 8 1.4. Grøn Vækst balance 10 Del 2 Miljø- og Naturplan Danmark 2020 2.1. Et vandmiljø af god kvalitet 15 2.2. Reduktion af pesticiders skadevirkninger 19 2.3. Reduceret ammoniakbelastning 23 2.4.",1100000.0,,
342.0,bing,"(“Bæredygtighed” OR “bæredygtig*” OR “grøn*”) AND (""forretning"" OR ""vækst"" OR ""innovation"" OR ""produktion"" OR ""potentiel"" OR ""optimering"" OR ""effektivitet"" OR ""muligheder"" OR ""økonomi"")",,Danish,dlg,,Bæredygtighed - DLG,https://www.dlg.dk/b%C3%A6redygtighed,"Vi mener, at bæredygtig udvikling og en bæredygtig forretning kan gå hånd i hånd, og vi ser bæredygtighed som en kommerciel mulighed, hvor vi samtidig er med til at sætte et varigt, positivt aftryk på den verden, vi overlader til de næste generationer. Det, mener vi, er sund fornuft.",1100000.0,,
343.0,bing,"(“Bæredygtighed” OR “bæredygtig*” OR “grøn*”) AND (""forretning"" OR ""vækst"" OR ""innovation"" OR ""produktion"" OR ""potentiel"" OR ""optimering"" OR ""effektivitet"" OR ""muligheder"" OR ""økonomi"")",,Danish,verdensmaalene,,Mål 12: Ansvarligt forbrug og produktion | Verdensmålene ...,https://www.verdensmaalene.dk/maal/12,"Sikre bæredygtigt forbrug og produktionsformer Økonomisk vækst og bæredygtig udvikling kræver, at vi hurtigst muligt reducere vores fodaftryk på naturen ved at ændre på den måde vi producerer og forbruger vores varer og ressourcer på. Landbruget er den største forbruger af vand på verdensplan, og kunstig vanding står nu for ca. 70 procent af alt forbrug af ferskvand beregnet til …",1100000.0,,
344.0,bing,"(“Bæredygtighed” OR “bæredygtig*” OR “grøn*”) AND (""forretning"" OR ""vækst"" OR ""innovation"" OR ""produktion"" OR ""potentiel"" OR ""optimering"" OR ""effektivitet"" OR ""muligheder"" OR ""økonomi"")",,Danish,danskebank,,Bæredygtig finans - Danske Bank,https://danskebank.com/da/baeredygtighed/baeredygtig-finans,I Danske Bank ønsker vi at fremme inklusiv økonomisk vækst og omstillingen til en bæredygtig økonomi. Gennem rådgivning til udstedere og investorer understøtter vi markedet for grønne og bæredygtige obligationer samt grønne og bæredygtighedsrelaterede lån.,1100000.0,,
346.0,bing,"(“Bæredygtighed” OR “bæredygtig*” OR “grøn*”) AND (""forretning"" OR ""vækst"" OR ""innovation"" OR ""produktion"" OR ""potentiel"" OR ""optimering"" OR ""effektivitet"" OR ""muligheder"" OR ""økonomi"")",,Danish,regeringen,,Klimaplan for en grøn affaldssektor og cirkulær økonomi,https://www.regeringen.dk/media/9591/aftaletekst.pdf,"I. Visioner for en grøn affaldssektor og cirkulær økonomi Aftalepartierne er enige om, at løsninger på klimaudfordringen skal vurderes tværgående. Inden for denne ramme er aftalepartierne enige om følgende visioner for en grøn affalds-sektor: Affaldssektoren skal være klimaneutral i 2030.",1100000.0,,
349.0,bing,"(“Bæredygtighed” OR “bæredygtig*” OR “grøn*”) AND (""forretning"" OR ""vækst"" OR ""innovation"" OR ""produktion"" OR ""potentiel"" OR ""optimering"" OR ""effektivitet"" OR ""muligheder"" OR ""økonomi"")",,Danish,nobia,,Bæredygtighed | Nobia Careers,https://careers.nobia.com/dk/at-arbejde-hos-os-dk/baeredygtighed/,"BÆREDYGTIG INNOVATION. Gennem innovation kan vi skabe køkkener, der hjælper mennesker med at leve mere miljøvenligt. Vi har udviklet et scorekort, der viser, hvor meget hvert enkelt køkkenprodukt lever op til kravet om bæredygtighed. Det hjælper kunderne med at tage en kvalificeret beslutning – og med at gøre noget godt for jorden.",1100000.0,,
350.0,bing,"(“Bæredygtighed” OR “bæredygtig*” OR “grøn*”) AND (""forretning"" OR ""vækst"" OR ""innovation"" OR ""produktion"" OR ""potentiel"" OR ""optimering"" OR ""effektivitet"" OR ""muligheder"" OR ""økonomi"")",,Danish,nben,,Forretningsstrategier for Bæredygtig Produktion 3.0,https://nben.dk/forretningsstrategier-for-baeredygtig-produktion-3-0,"Projektet ” Forretningsstrategier for Bæredygtig Produktion 3.0” løb i perioden 2015-2019. Projektet blev gennemført af Aalborg Universitet i samarbejde med Netværk for Bæredygtig Erhvervsudvikling NordDanmark og Gate 21, finansieret af Industriens Fond og Aalborg Universitet.",1100000.0,,
351.0,bing,"(“Bæredygtighed” OR “bæredygtig*” OR “grøn*”) AND (""forretning"" OR ""vækst"" OR ""innovation"" OR ""produktion"" OR ""potentiel"" OR ""optimering"" OR ""effektivitet"" OR ""muligheder"" OR ""økonomi"")",,Danish,csr,,IPUK: med kurs mod bæredygtig forretning - CSR - Greenland,https://csr.gl/2021/03/04/ipuk-med-kurs-mod-baeredygtig-forretning/,"Industriens Fond, Grønlands Erhverv og CSR Greenland lancerer nu et ambitiøst projekt under overskriften ”IPUK – med kurs mod bæredygtig forretning”. Formålet er at skabe vækst og arbejdspladser i Grønland med bæredygtige forretningsmodeller og FNs Verdensmål. Skal du være en af de 10 heldige virksomheder, der er med? Bæredygtighed skal ind i forretningen og tænkes …",1100000.0,,
352.0,bing,"(“Bæredygtighed” OR “bæredygtig*” OR “grøn*”) AND (""forretning"" OR ""vækst"" OR ""innovation"" OR ""produktion"" OR ""potentiel"" OR ""optimering"" OR ""effektivitet"" OR ""muligheder"" OR ""økonomi"")",,Danish,baeredygtig-business,,Podcast om CSR og bæredygtig forretning med Bæredygtig ...,https://baeredygtig-business.dk/episoder-af-baeredygtig-business/,"Teknologi og innovation er nøgleord, hvis vi vil gøre os nogen forhåbning om at indfri FN’s 17 verdensmål. Sammen med Malene Thiele, Dansk Erhverv og Christian Villum, Dansk Design Center, ser vi nærmere på mulighederne for at eskalere den teknologiske innovation i en bæredygtig …",1100000.0,,
353.0,bing,"(“Bæredygtighed” OR “bæredygtig*” OR “grøn*”) AND (""forretning"" OR ""vækst"" OR ""innovation"" OR ""produktion"" OR ""potentiel"" OR ""optimering"" OR ""effektivitet"" OR ""muligheder"" OR ""økonomi"")",,Danish,verdensmaalene,,Bæredygtig udvikling | Verdensmålene - for bæredygtig ...,https://www.verdensmaalene.dk/fakta/hvad-er-baeredygtig-udvikling,"Nogle anser økonomisk vækst for at være det bedste mål for udvikling, mens andre mener, at penge blot er et værktøj til at sikre de virkelig vigtige ting i livet. ... holdninger og handlingskompetence i forhold til FN""s verdensmål for bæredygtig udvikling.",1100000.0,,
354.0,bing,"(“Bæredygtighed” OR “bæredygtig*” OR “grøn*”) AND (""forretning"" OR ""vækst"" OR ""innovation"" OR ""produktion"" OR ""potentiel"" OR ""optimering"" OR ""effektivitet"" OR ""muligheder"" OR ""økonomi"")",,Danish,dtu,,Bæredygtig Produktion - DTU Engineering Technology,https://engtech.dtu.dk/erhvervssamarbejde/baeredygtig-produktion,"Bæredygtig Produktion Bæredygtighed, forretning og teknologi. Industriens Fond og DTU Engineering Technology fælles projekt Bæredygtig Produktion gør det muligt at hjælpe små og mellemstore virksomheder i Danmark med at tænke bæredygtighed, teknologi og forretning sammen, og dermed skabe økonomisk og konkurrencemæssig gevinst.",1100000.0,,
355.0,bing,"(“Bæredygtighed” OR “bæredygtig*” OR “grøn*”) AND (""forretning"" OR ""vækst"" OR ""innovation"" OR ""produktion"" OR ""potentiel"" OR ""optimering"" OR ""effektivitet"" OR ""muligheder"" OR ""økonomi"")",,Danish,norlys,,Sæt fokus på bæredygtighed | Indfør en grøn ...,https://norlys.dk/erhverv/energi/energioptimering/baeredygtighed,"Bæredygtig vækst gennem energi- og ressourceeffektive SMV’er. Et andet regionalt projekt, vi er stolte af at være en del af, er NBEN.Et nordjysk netværk med en ambition om at sætte Nordjylland i front, når det gælder grøn omstilling.",1100000.0,,
357.0,bing,"(“Bæredygtighed” OR “bæredygtig*” OR “grøn*”) AND (""forretning"" OR ""vækst"" OR ""innovation"" OR ""produktion"" OR ""potentiel"" OR ""optimering"" OR ""effektivitet"" OR ""muligheder"" OR ""økonomi"")",,Danish,gate21,,Bæredygtig Bundlinje 2.0 | Gate 21,https://www.gate21.dk/baeredygtig-bundlinje-2/,Vil du have en mere bæredygtig forretning? Grøn og cirkulær forretningsudvikling gavner både miljøet og virksomhedens bundlinje. I Bæredygtig Bundlinje 2.0 kan du som lille eller mellemstor virksomhed få gratis hjælp til at komme i gang.,1100000.0,,
358.0,bing,"(“Bæredygtighed” OR “bæredygtig*” OR “grøn*”) AND (""forretning"" OR ""vækst"" OR ""innovation"" OR ""produktion"" OR ""potentiel"" OR ""optimering"" OR ""effektivitet"" OR ""muligheder"" OR ""økonomi"")",,Danish,baeredygtighed-maerket,,Bæredygtighed - Vis du støtter og brug mærket aktivt,https://baeredygtighed-maerket.dk/,"Bæredygtig produktion af tøj handler om værdibaserede indsparinger, hvor produktivitet, økonomi og miljøhensyn hænger sammen. Det bliver mere og mere populært at producere tøj i bæredygtige mængder, der anerkender og tager hensyn til miljøet.",1100000.0,,
359.0,bing,"(“Bæredygtighed” OR “bæredygtig*” OR “grøn*”) AND (""forretning"" OR ""vækst"" OR ""innovation"" OR ""produktion"" OR ""potentiel"" OR ""optimering"" OR ""effektivitet"" OR ""muligheder"" OR ""økonomi"")",,Danish,timbernest,,Bæredygtig produktion af møbler | Vi gør det lettere at ...,https://timbernest.dk/baeredygtig-produktion,"Træ er en bæredygtig ressource og skovene er klodens lunger. Vi vil gerne være med til at passe på de danske skove og planter derfor to træer for hvert træ vi bruger i vores produktion. Vi samarbejder med Growing Trees Network, som planter træer i Danmark.På den måde kan vi bedre sikre os at de træer, som vi køber, også rent faktisk plantes.",1100000.0,,
361.0,bing,"(“Bæredygtighed” OR “bæredygtig*” OR “grøn*”) AND (""forretning"" OR ""vækst"" OR ""innovation"" OR ""produktion"" OR ""potentiel"" OR ""optimering"" OR ""effektivitet"" OR ""muligheder"" OR ""økonomi"")",,Danish,effektivitet,,Store danske virksomheder markedsfører bæredygtighed,https://effektivitet.dk/magasin/baeredygtighed/store-danske-virksomheder-markedsforer-baeredygtighed/,"Af Kurt Ottesen, KSO innovation, mail@ksoinnovation.com Investeringer i bæredygtighed kan bruges aktivt til at styrke konkurrenceevnen. De store virksomheder viser på deres hjemmesider tydeligt, at bæredygtighed bliver brugt aktivt i markedsføringen, og virksomhederne er ikke bange for at sætte konkrete, ambitiøse mål, som de efterfølgende kan blive konfronteret med. Der …",1100000.0,,
362.0,bing,"(“Bæredygtighed” OR “bæredygtig*” OR “grøn*”) AND (""forretning"" OR ""vækst"" OR ""innovation"" OR ""produktion"" OR ""potentiel"" OR ""optimering"" OR ""effektivitet"" OR ""muligheder"" OR ""økonomi"")",,Danish,erhvervsraadet,,Grøn Forretning - Erhvervsrådet Herning & Ikast-Brande,https://www.erhvervsraadet.dk/groen-forretning/groen-forretning,Med grøn forretning kan du udnytte forretningspotentialer indenfor det grønne område. Hos Erhvervsrådet Herning &amp; Ikast-Brande kan vi hjælpe dig med din bæredygtige og grønne omstilling.,1100000.0,,
