result #,search engine,query,discourse,language,domain,Manual actor name,article title,article url,article description,total nr of results (best guess),"Type (Kommunal, virksomhed, statslig)",Kommentarer / Er det en relevant kvalitativ case? Hvorfor?,index,resolved,status,error,filename,mimetype,encoding
214.0,bing,“CO2-aftryk” OR “global opvarmning” OR “klimaforandring*” OR “Parisaftalen” OR “kulstofberegner” OR “CO2-neutral” OR “kulstofneutral” OR “fossilfri”,,Danish,energihjem,,"Energihjem.dk - for dig, der vil energirenovere boligen",https://energihjem.dk/,"Energihjem.dk er for husejeren, der ønsker at energirenovere eller klimatilpasse, finde boligens energipotentiale eller få tilbud på energirenoveringen.",831000.0,,,118,,200,,3a1d2089-c258-4459-b781-60f48396775a.html,text/html,utf-8
88.0,bing,"""miljø*"" AND (“affald” OR “forurening” OR “naturressourcer” OR “genbrug” OR “udtømning af ressourcer” OR “vedvarende” OR “økosystem""",,Danish,esbjerg,,Plan & Miljø - Esbjerg,https://www.esbjerg.dk/politik-og-demokrati/byraad-og-udvalg/politiske-udvalg/plan-miljoe,Esbjerg Kommunes Plan &amp; Miljøudvalg,1640000.0,kommunal,,29,,200,,7b5857d3-f4d1-43a7-bb61-a8968410730a.html,text/html,utf-8
176.0,bing,"“verdensmål"" OR ""verdensmålene""",,Danish,via,,"VIA og FN""s verdensmål | VIA",https://www.via.dk/om-via/baeredygtighed/fns-verdensmaal,"Vi arbejder med FN""s verdensmål på mange forskellige niveauer. I vores forskning, i undervisningen og i vores adfærd som lokal og global samfundspartner. Herunder kan du klikke dig videre, og se konkrete eksempler på, hvordan vi arbejder med hvert enkelt verdensmål.",369000.0,,,92,,200,,5b23577a-3365-41e9-8a3e-258a7295c1d1.html,text/html,utf-8
246.0,bing,“CO2-aftryk” OR “global opvarmning” OR “klimaforandring*” OR “Parisaftalen” OR “kulstofberegner” OR “CO2-neutral” OR “kulstofneutral” OR “fossilfri”,,Danish,aalborgportland,,Forside - Aalborg Portland,https://www.aalborgportland.dk/,"FUTURECEM er officielt godkendt af Dansk Standard, og Aalborg Portland kan derfor fra 1. januar 2021 påbegynde leverancer af den nyudviklede cement, der har op til 30 procent lavere CO2-aftryk end traditionel cement.",831000.0,,,125,,200,,d44457b4-009d-43ac-acd1-400d8a93e9e9.html,text/html,utf-8
234.0,bing,“CO2-aftryk” OR “global opvarmning” OR “klimaforandring*” OR “Parisaftalen” OR “kulstofberegner” OR “CO2-neutral” OR “kulstofneutral” OR “fossilfri”,,Danish,danskaffaldsforening,,Dansk Affaldsforening,https://danskaffaldsforening.dk/,Dansk Affaldsforening - interesseorganisation for kommuner og kommunale affaldsselskaber. Affald er ressourcer i en cirkulær økonomi.,831000.0,,,122,,200,,c2433e9b-7935-4b67-a0a9-456df53e1d4c.html,text/html,utf-8
203.0,bing,“CO2-aftryk” OR “global opvarmning” OR “klimaforandring*” OR “Parisaftalen” OR “kulstofberegner” OR “CO2-neutral” OR “kulstofneutral” OR “fossilfri”,,Danish,viegandmaagoe,,Viegand Maagøe skaber grøn omstilling,https://viegandmaagoe.dk/,"Grøn omstilling sker i et møde mellem teknologi, finansiering, kommunikation og adfærd. Derfor er Viegand Maagøe eksperter i at rådgive på de områder.",831000.0,,,113,,200,,f72a4917-0804-4377-a8e6-94dca9b4e6a1.html,text/html,utf-8
167.0,bing,"“verdensmål"" OR ""verdensmålene""",,Danish,csr,,"FN""s verdensmål - CSR - Greenland",https://csr.gl/verdensmaal/,"193 medlemslande vedtog 17 Verdensmål ved FN’s generalforsamling i 2015. Verdenssamfundet skal i fællesskab frem til 2030 arbejde for at gøre verden mere bæredygtig. Årsagen til denne fælles opgave er ganske enkel: Nuværende generationer skal bistå med at sikre verden til fremtidens generationer.Verdensmålene er udformet således, at indsatser bæres af lokale …",369000.0,,,83,,200,,03560fab-63ef-4828-a12f-3d5c326df755.html,text/html,utf-8
190.0,bing,"“verdensmål"" OR ""verdensmålene""",,Danish,ds,,FN’s verdensmål - Brug standarder som redskab | Dansk ...,https://www.ds.dk/da/standarder-fns-verdensmaal,"FN’s verdensmål, standarder og din virksomhed . Se eller gense webinaret om FN’s verdensmål, som Dansk Standard afholdt sammen med CLEAN den 23. marts 2021. Webinaret giver inspiration til, hvordan man som virksomhed kan strukturere og dokumentere sit arbejde med FN’s verdensmål.",369000.0,,,103,,200,,16d7cc80-115c-4ce2-9dc4-033eb04ac1b0.html,text/html,utf-8
252.0,bing,“CO2-aftryk” OR “global opvarmning” OR “klimaforandring*” OR “Parisaftalen” OR “kulstofberegner” OR “CO2-neutral” OR “kulstofneutral” OR “fossilfri”,,Danish,wikipedia,,"Power-to-X - Wikipedia, den frie encyklopædi",https://da.wikipedia.org/wiki/Power-to-X,"Power-to-X (også kaldet PtX, P2X og P2Y) er et antal elektricitets og energilagrings - omdannelsesveje, som anvender overskydende elektrisk energi, typisk under perioder hvor generering af fluktuerende vedvarende energi overskrider elnettets kapacitet eller behov. Power-to-X omdannelsesteknologier tillader overførsel af energi fra elektricitetssektoren at blive …",831000.0,,,128,,200,,efc55dce-556e-464e-992a-8aa7cbf35836.html,text/html,utf-8
258.0,bing,“CO2-aftryk” OR “global opvarmning” OR “klimaforandring*” OR “Parisaftalen” OR “kulstofberegner” OR “CO2-neutral” OR “kulstofneutral” OR “fossilfri”,,Danish,biogan,,Biogan | Økologisk totalleverandør | Bliv en del af ...,https://biogan.dk/,Hos Biogan sælger vi et bredt udvalg af økologiske fødevarer og nonfood produkter af høj kvalitet. Vi er din fleksible samarbejdspartner inden for økologi.,831000.0,,,131,,200,,9d262ad1-d14f-4b77-94d2-55d85fe680a0.html,text/html,utf-8
251.0,bing,“CO2-aftryk” OR “global opvarmning” OR “klimaforandring*” OR “Parisaftalen” OR “kulstofberegner” OR “CO2-neutral” OR “kulstofneutral” OR “fossilfri”,,Danish,tapasamor,,Tapas Amor: Spanske Tapas: Tapas Restaurant i København ...,https://tapasamor.dk/,"Bæredygtig mad handler om mere end klima og CO2-aftryk. Det handler nemlig også om, at håndtering af bæredygtig mad ikke må belaste miljøet. Når det kommer til bæredygtig mad, er der vigtige krav, som vi skal leve op til. Her skal der nemlig altid sættes stor fokus på forholdene under produceringen af maden.",831000.0,,,127,,200,,d823176c-ec89-4c2d-83b4-1ad44a0ff955.html,text/html,utf-8
187.0,bing,"“verdensmål"" OR ""verdensmålene""",,Danish,fredericia,,FREDERICIA FOR VERDENSMÅLENE,https://www.fredericia.dk/system/files/cp-documents/3f1e3f79-2c16-ea11-911a-005056887949.pdf,"Verdensmålene skal være vores fælles løftestang for udviklingen af Fredericia – en udvikling, vi vil skabe i tæt samarbejde med kommunens borgere, for-eninger og virksomheder. Ambitionen er bæredygtig vækst og velfærd, hvor klima og sundhed lige nu står øverst på dagsordenen. Med Fredericia for Verdensmålene sætter Fredericia",369000.0,,,101,,200,,5602066b-38e9-425a-904c-211e92783dfe.pdf,application/pdf,
155.0,bing,"“verdensmål"" OR ""verdensmålene""",,Danish,kk,,"FN""s verdensmål i København",https://www.kk.dk/artikel/fns-verdensmaal-i-koebenhavn,"Se Københavns Kommunes handlingsplan for FN""s verdensmål her. Københavns Kommunes handlingsplan for FN’s verdensmål (SDG) indeholder en kortlægning af byens nuværende bidrag til realiseringen af FN’s verdensmål, såvel som en plan for kommunens strategiske forankring af verdensmålene i kommunens fremadrettede arbejde.",369000.0,,,76,,200,,f0ab6437-631f-43ba-a248-e16a47aac190.html,text/html,utf-8
235.0,bing,“CO2-aftryk” OR “global opvarmning” OR “klimaforandring*” OR “Parisaftalen” OR “kulstofberegner” OR “CO2-neutral” OR “kulstofneutral” OR “fossilfri”,,Danish,vetcur,,"Kvalitetsfoder til Hund, Kat og Hest | VetCur",https://www.vetcur.dk/,"Opvarmningen sker med CO2 neutral brændsel, og vores forbrug af emballage, især farvetryk på disse, holder vi på et absolut minimum. Vores brochure er Svanemærket og sådan kunne vi blive ved. Vi ved, at vi kan gøre en forskel og gør det så. Læs mere om VetCur.",831000.0,,,123,,200,,6e4ae3eb-56b8-4fb7-b48e-c55ecbb9abe3.html,text/html,utf-8
250.0,bing,“CO2-aftryk” OR “global opvarmning” OR “klimaforandring*” OR “Parisaftalen” OR “kulstofberegner” OR “CO2-neutral” OR “kulstofneutral” OR “fossilfri”,,Danish,ens,,EUDP | Energistyrelsen,https://ens.dk/ansvarsomraader/forskning-udvikling/eudp,"EUDP. Det Energiteknologiske Udviklings- og Demonstrationsprogram (EUDP) er en offentlig tilskudsordning. Ordningen støtter ny teknologi på energiområdet, som kan bidrage til at indfri Danmarks målsætninger inden for energi og klima.",831000.0,,,126,,200,,d7c4f815-a357-48e6-bdaf-3621beb91ef2.html,text/html,utf-8
236.0,bing,“CO2-aftryk” OR “global opvarmning” OR “klimaforandring*” OR “Parisaftalen” OR “kulstofberegner” OR “CO2-neutral” OR “kulstofneutral” OR “fossilfri”,,Danish,torvekoekken,,"Frokostordning, Kantiner og Catering | København",https://torvekoekken.dk/,"CO2 neutral produktion i 2030. Vi har i mange år arbejdet ambitiøst med bæredygtighed, og gartneriet er et stort skridt på vejen mod en bæredygtig fremtid. Frokostkunderne kan i fremtiden glæde sig til egne dyrkede urter og spæde salater. Læs mere om vores strategi .",831000.0,,,124,,200,,3d0aa292-06f9-42e2-8577-62d00b2e1063.html,text/html,utf-8
253.0,bing,“CO2-aftryk” OR “global opvarmning” OR “klimaforandring*” OR “Parisaftalen” OR “kulstofberegner” OR “CO2-neutral” OR “kulstofneutral” OR “fossilfri”,,Danish,mst,,Vandplaner - Miljøstyrelsen,https://mst.dk/natur-vand/vandmiljoe/vandomraadeplaner/,"Basisanalyse 2021-2027. Basisanalysen udgør det faglige afsæt for de kommende vandområdeplaner 2021-2027. I basisanalysen indgår overvågningsdata for vandløb, søer, kystvande og grundvand for perioden 2014-2018.",831000.0,,,129,,200,,4b679992-24b5-421d-8b68-544f3d0c949b.html,text/html,utf-8
213.0,bing,“CO2-aftryk” OR “global opvarmning” OR “klimaforandring*” OR “Parisaftalen” OR “kulstofberegner” OR “CO2-neutral” OR “kulstofneutral” OR “fossilfri”,,Danish,energinet,,Energinet | Energinet,https://energinet.dk/,"Energinet er et selvstændigt statsligt selskab, som ejer og driver dansk energiinfrastruktur. Vi sikrer høj forsyningssikkerhed på el- og gasområdet i Danmark og bidrager til en effektiv grøn omstilling.",831000.0,,,117,,200,,4cf69da7-cc0b-463f-bf52-aa5b94b751ce.html,text/html,utf-8
171.0,bing,"“verdensmål"" OR ""verdensmålene""",,Danish,seismonaut,,"FN""s verdensmål skaber ny dagsorden for turisme",https://seismonaut.com/fn-verdensmaal-og-turisme,"Turisme rykker i stigende grad op på dagsordenen, som driver for vækst og udvikling. Det gælder i særdeleshed i Danmark, hvor vi har et fantastisk afsæt for verdensklasseturisme, hvis vi griber det strategiske arbejde rigtigt an og formår at indtænke nogle af de vigtigste globale makrotendenser netop nu, som bl.a. FN""s Verdensmål.Jeg giver her mit bud på fire områder, der kan bidrage ...",369000.0,,,87,,200,,8679af09-86b0-4da3-937f-11fec5a5b169.html,text/html,utf-8
260.0,bing,“CO2-aftryk” OR “global opvarmning” OR “klimaforandring*” OR “Parisaftalen” OR “kulstofberegner” OR “CO2-neutral” OR “kulstofneutral” OR “fossilfri”,,Danish,copenhagencartel,,"Bæredygtigt badetøj, sportstøj og joggingtøj♻️ ...",https://copenhagencartel.dk/,"Vores mission er at udfordre de traditionelle produktions- og forbrugs mønstre ved at implementere løsninger, som hurtigt letter det tryk, der er på vores planet og klima. Vi giver rest- og spild ressourcer, som normalt anses som værdiløse, nyt liv og …",831000.0,,,132,,200,,d4d49821-022e-4c37-a98e-4525d289aab8.html,text/html,utf-8
80.0,bing,"""miljø*"" AND (“affald” OR “forurening” OR “naturressourcer” OR “genbrug” OR “udtømning af ressourcer” OR “vedvarende” OR “økosystem""",,Danish,hedensted,,Søg og anmeld byggeri i Hedensted Kommune via Byg og Miljø,"https://www.hedensted.dk/borger/affald,-bolig-og-flytning/byggeri/soeg-byggetilladelse","Løsningen indeholder også en kortservice, som oplyser restriktioner der gælder på din byggegrund. Fx om der er lokalplan, naturbeskyttelseslinjer eller om din byggegrund ligger i landzone. På Byg og Miljø kan du følge din byggesag fra ansøgning og til byggeriet står færdigt og klar til brug.",1640000.0,kommunal,,25,,200,,9690be26-d7a0-4637-bce7-10a03920013f.html,text/html,utf-8
212.0,bing,“CO2-aftryk” OR “global opvarmning” OR “klimaforandring*” OR “Parisaftalen” OR “kulstofberegner” OR “CO2-neutral” OR “kulstofneutral” OR “fossilfri”,,Danish,danishcrown,,Hjem - Danish Crown,https://www.danishcrown.com/da-dk/,Danish Crown producerer mere end 10 milliarder måltider om året til mennesker over hele verden. Vi vil sænke klimaaftrykket med 50% i 2030 og være klimaneutrale i 2050.,831000.0,,,116,,200,,9b06b6f9-edc9-4da8-ab6b-fd4d0e93ca5f.html,text/html,utf-8
274.0,bing,“CO2-aftryk” OR “global opvarmning” OR “klimaforandring*” OR “Parisaftalen” OR “kulstofberegner” OR “CO2-neutral” OR “kulstofneutral” OR “fossilfri”,,Danish,aalborg,,"Aalborg kommunes tværgående politikker, strategier og planer",https://www.aalborg.dk/politik/strategier-og-politikker,"Aalborg kommunes tværgående politikker, strategier og planer i forhold til kommunens indsats.",831000.0,,,135,,200,,be74a840-64b0-4ae7-af7f-30157e0b2ffc.html,text/html,utf-8
263.0,bing,“CO2-aftryk” OR “global opvarmning” OR “klimaforandring*” OR “Parisaftalen” OR “kulstofberegner” OR “CO2-neutral” OR “kulstofneutral” OR “fossilfri”,,Danish,danskelbilalliance,,Dansk Elbil Alliance,https://www.danskelbilalliance.dk/,"Dansk Elbil Alliance er et selvstændigt branchefællesskab under Dansk Energi, som har til formål at være en betydningsfuld aktør i arbejdet for at gøre Danmark til foregangsland for eldrevne køretøjer herunder plugin-hybrid køretøjer og opnå synergier på tværs af danske energiselskaber og elbilindustrien, med henblik på i fællesskab at sikre en massiv udbredelse af eldrevne ...",831000.0,,,133,,200,,f2266c63-0873-40fc-ad56-13f6de381011.html,text/html,utf-8
197.0,bing,"“verdensmål"" OR ""verdensmålene""",,Danish,danishhealthtech,,7 konkrete idéer: Sådan arbejder du med FN’s ...,https://danishhealthtech.dk/7-konkrete-ideer-saadan-arbejder-du-med-fns-verdensmaal-i-din-virksomhed-og-tjener-penge/,"Flere og flere danske virksomheder arbejder allerede med FN’s Verdensmål, men kun hver femte virksomhed har integreret Verdensmålene i deres strategi og forretningsmodel. De savner konkrete værktøjer. Her er 7 konkrete idéer til, hvordan du nemt – og hurtigt – kommer i gang. Og stadig tjener penge. Ørsted gør det. Grundfos gør det. Novo Nordisk […]",369000.0,,,110,,200,,077bfc4e-0455-4fa5-8d57-e07734ec70fe.html,text/html,utf-8
68.0,bing,"""miljø*"" AND (“affald” OR “forurening” OR “naturressourcer” OR “genbrug” OR “udtømning af ressourcer” OR “vedvarende” OR “økosystem""",,Danish,dankoeling,,Miljø | dankoeling.dk,https://dankoeling.dk/miljoe/,"Miljø “Forbedring af nutiden – sikring af fremtiden” Igennem de seneste 50 år har grundelementerne for livet – luft, vand og jord – systematisk været udsat for øgede forureningsniveauer med lille hensyn til deres mulige skadelige effekter for fremtidige generationer.",1640000.0,,,21,,200,,ccbc6e74-5651-49e4-aef4-9908606f6b67.html,text/html,utf-8
175.0,bing,"“verdensmål"" OR ""verdensmålene""",,Danish,cavemakers,,CaveMakers arbejder aktivt med FN’s verdensmål for at ...,https://cavemakers.dk/fn-verdensmaal/,"FN’s verdensmål 8.5. Målet er at skabe fuld og produktiv beskæftigelse og anstændigt arbejde med lige løn for arbejde af samme værdi for alle. Den gode leg involverer andre end dig selv, og uanset alder, farve, baggrund, køn, kropsbygning, seksualitet og …",369000.0,,,91,,200,,04277ca0-41b7-4ca0-abd5-737f131ac8da.html,text/html,utf-8
305.0,bing,"(“Bæredygtighed” OR “bæredygtig*” OR “grøn*”) AND (""forretning"" OR ""vækst"" OR ""innovation"" OR ""produktion"" OR ""potentiel"" OR ""optimering"" OR ""effektivitet"" OR ""muligheder"" OR ""økonomi"")",,Danish,bu,,Bæredygtig produktion og forbrug | Bæredygtig Udvikling,https://bu.dk/bu-i-danmark/implementering-johannesburg/baeredygtig-produktion-og-forbrug/,"”Nutidens miljøproblemer er i høj grad knyttet til den måde vi producerer og forbruger på. Mere effektiv udnyttelse af ressourcerne i produktion og forbrug er vigtig. Mængden af og miljøbelastningen fra affald skal begrænses. Alle aktører har et ansvar for at bidrage til, at samfundet bevæger sig i en bæredygtig retning.” ”FN’s Kommission for bæredygtig […]",1100000.0,,,141,,200,,c1e36622-4918-4c29-8bd2-32751e114dac.html,text/html,utf-8
301.0,bing,"(“Bæredygtighed” OR “bæredygtig*” OR “grøn*”) AND (""forretning"" OR ""vækst"" OR ""innovation"" OR ""produktion"" OR ""potentiel"" OR ""optimering"" OR ""effektivitet"" OR ""muligheder"" OR ""økonomi"")",,Danish,industriensfond,,TEMA: BÆREDYGTIG PRODUKTION | Industriens Fond,https://www.industriensfond.dk/tema-b%C3%A6redygtig-produktion,"Industriens Fond efterspørger viden og redskaber, så flere virksomheder trækker værdi ud af deres erfaringer med bæredygtig produktion, så nye måder at producere på, nye samarbejdsrelationer og nye måder at håndtere underleverandører på bliver en kilde til produktudvikling, radikale innovationer og måske helt nye forretningsmodeller.",1100000.0,,,139,,200,,f00c5403-4949-4c44-83ea-4f8c83620671.html,text/html,utf-8
117.0,bing,"“verdensmål"" OR ""verdensmålene""",,Danish,redbarnet,,Verdensmål - Ret til fremtiden - Undervisningmateriale,https://redbarnet.dk/skole/boerns-rettigheder/verdensmaal-mellemtrin/,"Verdensmål og børns rettigheder går hånd i hånd. Og materialet skal være med til at understøtte bevidstheden om, at man ved at støtte Verdensmål også styrker børns rettigheder. Fælles mål. I kan bru ge materialet i dansk, idræt, billedkunst og understøttende undervisning",369000.0,,,48,,200,,3a21f2cb-7537-443c-82a7-c9bdb2a72037.html,text/html,utf-8
302.0,bing,"(“Bæredygtighed” OR “bæredygtig*” OR “grøn*”) AND (""forretning"" OR ""vækst"" OR ""innovation"" OR ""produktion"" OR ""potentiel"" OR ""optimering"" OR ""effektivitet"" OR ""muligheder"" OR ""økonomi"")",,Danish,erhvervsraadet,,Grøn Forretning - vejen til en bæredygtig virksomhed,https://www.erhvervsraadet.dk/groen-forretning,Få en hjælp til den grønne forretning hos Erhvervsrådet. Her kan du som iværksætter og virksomhed hente inspiration og gode råd. Som virksomhed i Herning og Ikast-Brande kommune tilbyder vi gratis vejlednings- og netværksydelser med fokus på grøn forretning.,1100000.0,,,140,,200,,7f62de19-927c-4894-a19c-abd1a24843e5.html,text/html,utf-8
311.0,bing,"(“Bæredygtighed” OR “bæredygtig*” OR “grøn*”) AND (""forretning"" OR ""vækst"" OR ""innovation"" OR ""produktion"" OR ""potentiel"" OR ""optimering"" OR ""effektivitet"" OR ""muligheder"" OR ""økonomi"")",,Danish,ecolabel,,Hvad er bæredygtighed? - Miljømærkning Danmark,https://www.ecolabel.dk/da/forbruger/baeredygtig-livsstil/hvad-er-baeredygtighed,"Bæredygtig produktion. Bæredygtige investeringer. Bæredygtighedsmål. Bæredygtige løsninger. Bæredygtig bundlinje. Begrebet bæredygtighed dukker op i mange forskellige sammenhænge, og bliver brugt bredt. Derfor er der ikke noget at sige til, hvis du …",1100000.0,,,145,,200,,9a238036-ff4f-4efe-b04c-3734754a9ffd.html,text/html,utf-8
170.0,bing,"“verdensmål"" OR ""verdensmålene""",,Danish,menneskeret,,FN’s Verdensmål | Institut for Menneskerettigheder,https://menneskeret.dk/emner/fns-verdensmaal,"Menneskerettighederne udgør grundlaget for Verdensmålene – og kan derfor være med til at guide den praktiske gennemførelse. Eksisterende civile, politiske, økonomiske, sociale og kulturelle rettigheder er reflekteret i delmålene, og det tværgående princip om at ’ingen må lades i stikken’ (’leaving no one behind’) afspejler menneskerettighedernes grundlæggende principper om ...",369000.0,,,86,,200,,3d9ab7cb-4402-4f46-880b-6fbfa00072ef.html,text/html,utf-8
211.0,bing,“CO2-aftryk” OR “global opvarmning” OR “klimaforandring*” OR “Parisaftalen” OR “kulstofberegner” OR “CO2-neutral” OR “kulstofneutral” OR “fossilfri”,,Danish,realdania,,Realdania - Livskvalitet gennem det byggede miljø,https://realdania.dk/,"Realdania Årsrapport 2020. Realdania fik et tilfredsstillende resultat i 2020, der betød 940 mio. kr. i bevilgede uddelinger til filantropiske projekter i årets løb. 175 mio. kr. gik til en særlig COVID-19-indsats, som blandt andet har fokus på at øge bæredygtigheden i byggeriet i kølvandet på krisen.",831000.0,,,115,,200,,10688c79-ef13-4784-95e1-cab053dae7b0.html,text/html,utf-8
300.0,bing,"(“Bæredygtighed” OR “bæredygtig*” OR “grøn*”) AND (""forretning"" OR ""vækst"" OR ""innovation"" OR ""produktion"" OR ""potentiel"" OR ""optimering"" OR ""effektivitet"" OR ""muligheder"" OR ""økonomi"")",,Danish,csr,,Bæredygtighed bliver en GIGA god forretning | CSR.dk,https://csr.dk/b%C3%A6redygtighed-bliver-en-giga-god-forretning-9,"Bæredygtighed er fremtidens normal. Og fremtidens mest succesfulde virksomheder, bliver dem, der er hurtigst til at gentænke deres forretningsmodel og skabe en bæredygtig forretning. Virksomhederne skal lære at drive Sustainable hardcore business, og forventningerne til udbyttet er allerede tårnhøjt (se faktabokse nederst i indlægget).",1100000.0,,,138,,200,,cd8be8f9-d26c-4424-acf6-e29d118cef9e.html,text/html,utf-8
322.0,bing,"(“Bæredygtighed” OR “bæredygtig*” OR “grøn*”) AND (""forretning"" OR ""vækst"" OR ""innovation"" OR ""produktion"" OR ""potentiel"" OR ""optimering"" OR ""effektivitet"" OR ""muligheder"" OR ""økonomi"")",,Danish,computerworldevents,,Sådan gør IT bæredygtighed til en god forretning,https://computerworldevents.dk/1126/saadan-goer-it-baeredygtighed-til-en-god-forretning?ref=cw-eventbox,"08.04.2021 · Sådan gør IT bæredygtighed til en god forretning Digitalt event. Dato: 20/4 2021. Sted: Online. Pris: Gratis deltagelse. Kunder, investorer og samfund holder i stigende grad virksomheder ansvarlige for deres klimabelastning, og de fleste forventer, at der indenfor overskuelig fremtid indføres egentlige skatter på CO 2-udledning.",1100000.0,,,156,,200,,515f9a67-b028-4c54-ae10-34ad1064d34a.html,text/html,utf-8
267.0,bing,“CO2-aftryk” OR “global opvarmning” OR “klimaforandring*” OR “Parisaftalen” OR “kulstofberegner” OR “CO2-neutral” OR “kulstofneutral” OR “fossilfri”,,Danish,klimabevaegelsen,,Klimabevægelsen i Danmark,https://www.klimabevaegelsen.dk/,"Vi kræver klimaretfærdighed. Vi går sammen for at stoppe brugen af fossile brændsler, og for at kræve et bæredygtigt Danmark for os, vores børn og børnebørn.",831000.0,,,134,,200,,409eb962-1860-4a55-8475-f4669b887177.html,text/html,utf-8
318.0,bing,"(“Bæredygtighed” OR “bæredygtig*” OR “grøn*”) AND (""forretning"" OR ""vækst"" OR ""innovation"" OR ""produktion"" OR ""potentiel"" OR ""optimering"" OR ""effektivitet"" OR ""muligheder"" OR ""økonomi"")",,Danish,ucl,,Blogindlæg - Bæredygtighed: Kunsten at omsætte luftige ...,https://www.ucl.dk/blog/Ledelse-og-organisation/baeredygtighed-kunsten-at-omsaette-luftige-begreber-til-virkelighedens-forretning,"Bæredygtighed: Kunsten at omsætte luftige begreber til virkelighedens forretning Deltag i webinar om hvordan pokker al den snak om bæredygtighed og FN’s Verdensmål bliver en del af din dagligdag som leder, af bundlinjen og af din virksomheds strategi.",1100000.0,,,152,,200,,97c6764b-a929-438c-85d1-7ff21f997d47.html,text/html,utf-8
319.0,bing,"(“Bæredygtighed” OR “bæredygtig*” OR “grøn*”) AND (""forretning"" OR ""vækst"" OR ""innovation"" OR ""produktion"" OR ""potentiel"" OR ""optimering"" OR ""effektivitet"" OR ""muligheder"" OR ""økonomi"")",,Danish,gyldendal,,Produktion med bæredygtig udnyttelse af naturgrundlaget ...,https://naturfagsproeven.gyldendal.dk/forloeb/3-produktion-med-baeredygtig-udnyttelse-af-naturgrundlaget,Produktion med bæredygtig udnyttelse af naturgrundlaget ...,1100000.0,,,153,,200,,7055c234-8f72-471c-816e-425bc147de1e.html,text/html,utf-8
325.0,bing,"(“Bæredygtighed” OR “bæredygtig*” OR “grøn*”) AND (""forretning"" OR ""vækst"" OR ""innovation"" OR ""produktion"" OR ""potentiel"" OR ""optimering"" OR ""effektivitet"" OR ""muligheder"" OR ""økonomi"")",,Danish,combine,,Bæredygtighed er god forretning - Combine,https://combine.dk/indsigter/baeredygtighed-er-god-forretning/,"Bæredygtighed er god forretning Som digital virksomhed ved vi, hvor stort potentiale t er for at skabe en positiv forandring ved hjælp af digitalisering. V ores løsninger er aktivt med til at omstille virksomheder og forbedre dagligdagen for mange tusinde mennesker.",1100000.0,,,158,,200,,7abc5596-5796-4f97-9613-6ffa8b702a4d.html,text/html,utf-8
316.0,bing,"(“Bæredygtighed” OR “bæredygtig*” OR “grøn*”) AND (""forretning"" OR ""vækst"" OR ""innovation"" OR ""produktion"" OR ""potentiel"" OR ""optimering"" OR ""effektivitet"" OR ""muligheder"" OR ""økonomi"")",,Danish,ikea,,Bæredygtighed i vores forretning | Årsberetning 2020 - IKEA,https://www.ikea.com/dk/da/this-is-ikea/newsroom/baeredygtighedivoresforretning2020-pub258a0fe9,"I året der gik, stillede vi endnu skarpere på bæredygtighed i IKEA. Vi trådte ind i det årti, hvor vi skal nå vores globale mål om at blive en klimapositiv, cirkulær forretning i 2030. Det er en ambitiøs målsætning, der kræver ændringer i måden, vi driver vores virksomhed på.",1100000.0,,,150,,200,,7784af0e-9c88-436a-a448-d751efadf6f7.html,text/html,utf-8
317.0,bing,"(“Bæredygtighed” OR “bæredygtig*” OR “grøn*”) AND (""forretning"" OR ""vækst"" OR ""innovation"" OR ""produktion"" OR ""potentiel"" OR ""optimering"" OR ""effektivitet"" OR ""muligheder"" OR ""økonomi"")",,Danish,promentum,,Bæredygtighed er en GIGA god forretning – Promentum A/S,https://promentum.dk/baeredygtighed-er-en-giga-god-forretning/,"Bæredygtighed er fremtidens normal. Og fremtidens mest succesfulde virksomheder, bliver dem, der er hurtigst til at gentænke deres forretningsmodel og skabe en bæredygtig forretning. Virksomhederne skal lære at drive Sustainable hardcore business, og forventningerne til udbyttet er allerede tårnhøjt (se faktabokse nederst i indlægget).",1100000.0,,,151,,200,,2734cedb-6bb1-4ae1-96fe-334aa7dcb29e.html,text/html,utf-8
287.0,bing,“CO2-aftryk” OR “global opvarmning” OR “klimaforandring*” OR “Parisaftalen” OR “kulstofberegner” OR “CO2-neutral” OR “kulstofneutral” OR “fossilfri”,,Danish,projectzero,,Forside,https://www.projectzero.dk/,"ZEROcompanies er de virksomheder, som går forrest i arbejdet med at gøre Sønderborg CO2-neutral i 2029. ZERObutik. Mere end 150 butikker i området er certificeret ZERObutik og interessen for at gøre grønne indkøb er kun stigende. ZEROboligforeninger.",831000.0,,,137,,200,,54906ba2-c8c0-41c3-b744-cb3918b3fda3.html,text/html,utf-8
321.0,bing,"(“Bæredygtighed” OR “bæredygtig*” OR “grøn*”) AND (""forretning"" OR ""vækst"" OR ""innovation"" OR ""produktion"" OR ""potentiel"" OR ""optimering"" OR ""effektivitet"" OR ""muligheder"" OR ""økonomi"")",,Danish,dn,,Bæredygtighed - Danmarks Naturfredningsforening,https://www.dn.dk/vi-arbejder-for/baeredygtighed/,"Bæredygtighed Produktion og forbrug skal ikke belaste klimaet og forurene vores natur og miljø. Et bæredygtigt samfund er et samfund uden affald: En cirkulær økonomi, hvor vi genbruger og genanvender materialer.",1100000.0,,,155,,200,,76c2ac29-66f2-4475-9049-e36990f39467.html,text/html,utf-8
